Nutzer,Zeit,Dauer,Art,Rahmen,Gesamtmenge,Fleisch,Fleischersatz,Gemüse,Teigwaren,Obst,Milchprodukte
Martin,06.05.2013 09:30,30,Frühstück,Daheim,2,0,0,1,1,1,0
Martin,06.05.2013 12:45,25,Mittagessen,Arbeit,3,2,0,1,3,0,0
Martin,06.05.2013 13:45,10,Snack,Imbiss,2,0,0,0,2,1,0
Martin,06.05.2013 18:45,30,Abendessen,Daheim,3,0,3,1,2,3,0
Martin,07.05.2013 08:15,45,Frühstück,Daheim,2,0,0,2,1,0,0
Martin,07.05.2013 12:30,30,Mittagessen,Arbeit,1,0,2,1,3,2,0
Martin,07.05.2013 16:30,5,Snack,Imbiss,2,0,0,0,3,1,0
Martin,07.05.2013 20:00,30,Abendessen,Daheim,3,0,3,2,2,2,0
Martin,08.05.2013 09:00,40,Frühstück,Daheim,2,0,0,0,1,3,0
Martin,08.05.2013 12:30,45,Mittagessen,Arbeit,3,2,0,1,3,0,0
Martin,08.05.2013 15:30,20,Snack,Imbiss,2,0,1,0,2,1,0
Martin,08.05.2013 21:00,30,Abendessen,Daheim,3,3,0,2,2,3,0
Tom,06.05.2013 10:30,30,Frühstück,Daheim,2,0,0,1,1,1,0
Tom,06.05.2013 14:45,25,Mittagessen,Arbeit,3,2,0,1,3,3,0
Tom,06.05.2013 16:45,10,Snack,Imbiss,2,0,0,0,2,1,0
Tom,06.05.2013 20:45,30,Abendessen,Daheim,3,0,3,1,2,0,0
Tom,07.05.2013 11:15,45,Frühstück,Daheim,2,0,0,2,1,0,0
Tom,07.05.2013 16:30,10,Snack,Imbiss,2,0,1,0,3,1,0
Tom,07.05.2013 21:15,30,Abendessen,Daheim,3,0,3,2,2,1,0
Tom,08.05.2013 10:15,40,Frühstück,Daheim,2,0,0,0,1,3,0
Tom,08.05.2013 12:45,45,Mittagessen,Arbeit,3,2,0,1,3,0,0
Tom,08.05.2013 14:30,20,Snack,Imbiss,2,0,1,0,2,1,0
Tom,08.05.2013 15:45,20,Snack,Imbiss,2,0,1,2,2,1,0
Tom,08.05.2013 20:00,30,Abendessen,Daheim,3,3,0,2,2,1,0
Huong,06.05.2013 08:15,30,Frühstück,Daheim,2,0,0,1,3,1,0
Huong,06.05.2013 12:30,25,Mittagessen,Arbeit,3,2,0,1,3,0,0
Huong,06.05.2013 14:30,10,Snack,Imbiss,2,0,0,0,2,3,0
Huong,06.05.2013 18:45,30,Abendessen,Daheim,3,0,3,1,2,0,0
Huong,07.05.2013 08:15,45,Frühstück,Daheim,2,0,0,3,1,0,0
Huong,07.05.2013 13:00,30,Mittagessen,Arbeit,1,1,2,1,3,2,0
Huong,07.05.2013 15:30,5,Snack,Imbiss,2,0,0,0,3,1,0
Huong,07.05.2013 20:00,30,Abendessen,Daheim,3,0,3,2,2,0,0
Huong,08.05.2013 08:15,40,Frühstück,Daheim,2,0,1,0,1,3,0
Huong,08.05.2013 12:30,45,Mittagessen,Arbeit,3,2,0,1,3,0,0
Huong,08.05.2013 19:00,30,Abendessen,Daheim,3,3,0,2,2,0,0
Thomas,01.06.2013 12:00,20,Mittagessen,Freunde,2,0,2,2,0,1,0
Thomas,01.06.2013 15:15,15,Snack,Freunde,2,0,0,0,3,0,0
Thomas,01.06.2013 18:15,20,Abendessen,Freunde,2,0,0,0,3,0,1
Thomas,02.06.2013 13:45,15,Mittagessen,Daheim,2,0,2,2,0,1,0
Thomas,02.06.2013 17:15,5,Snack,Daheim,1,0,0,0,3,0,0
Thomas,02.06.2013 12:30,25,Abenbrot,Daheim,2,0,1,0,2,0,1
Thomas,03.06.2013 01:15,5,Snack,Daheim,1,0,0,0,0,1,0
Thomas,03.06.2013 12:30,55,Mittagessen,Mensa,2,0,0,0,3,1,0
Thomas,03.06.2013 21:00,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,03.06.2013 23:15,15,Abendessen,Daheim,2,0,0,0,3,0,1
Thomas,04.06.2013 13:30,20,Frühstück,Daheim,2,0,0,0,2,2,2
Thomas,04.06.2013 16:45,10,Snack,Daheim,1,0,0,0,0,0,3
Thomas,04.06.2013 20:00,25,Abendessen,Daheim,2,0,1,1,3,0,1
Thomas,05.06.2013 14:30,25,Mittagessen,Restaurant,2,0,2,2,3,0,0
Thomas,05.06.2013 22:15,20,Abendessen,Daheim,2,0,1,1,3,0,1
Thomas,06.06.2013 13:15,30,Mittagessen,Mensa,2,0,0,2,0,0,1
Thomas,06.06.2013 15:00,10,Snack,Daheim,1,0,0,0,0,3,0
Thomas,07.06.2013 12:15,20,Frühstück,Daheim,2,0,0,0,2,2,2
Thomas,07.06.2013 17:00,20,Snack,Daheim,2,0,0,0,3,0,0
Thomas,08.06.2013 14:00,30,Frühstück,Daheim,2,0,0,0,3,0,0
Thomas,08.06.2013 15:45,5,Snack,Daheim,2,0,0,0,3,0,0
Thomas,08.06.2013 20:30,20,Abendessen,Restaurant,2,0,1,1,2,0,0
Thomas,08.06.2013 23:30,10,Snack,Daheim,1,0,0,0,0,3,0
Thomas,09.06.2013 12:15,30,Mittagessen,Freunde,2,0,1,2,0,0,0
Thomas,09.06.2013 15:00,10,Snack,Freunde,1,0,0,0,3,0,1
Thomas,09.06.2013 18:15,25,Abendessen,Freunde,2,0,1,1,2,1,0
Thomas,09.06.2013 22:15,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,10.06.2013 01:30,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,10.06.2013 12:45,20,Frühstück,Daheim,2,0,0,0,3,0,0
Thomas,10.06.2013 19:10,20,Abendessen,Daheim,2,0,0,0,3,0,1
Thomas,11.06.2013 03:15,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,11.06.2013 16:00,25,Mittagessen,Daheim,2,0,0,0,3,1,0
Thomas,11.06.2013 22:30,25,Abendessen,Daheim,2,0,1,1,2,0,0
Thomas,12.06.2013 13:45,25,Frühstück,Daheim,2,0,0,0,3,0,0
Thomas,12.06.2013 20:45,30,Abendessen,Daheim,2,0,1,0,3,1,0
Thomas,13.06.2013 12:15,25,Mittagessen,Mensa,2,0,0,1,3,0,1
Thomas,13.06.2013 16:00,5,Snack,Daheim,1,0,0,0,3,0,0
Thomas,13.06.2013 23:00,15,Abendessen,Daheim,2,0,0,1,3,0,1
Thomas,14.06.2013 12:15,10,Frühstück,Daheim,1,0,0,0,2,2,0
Thomas,14.06.2013 15:45,35,Mittagessen,Daheim,3,0,0,1,3,0,1
Thomas,15.06.2013 09:15,35,Frühstück,Daheim,2,0,0,0,2,2,2
Thomas,15.06.2013 16:00,15,Snack,Freunde,1,0,0,0,3,0,0
Thomas,15.06.2013 18:45,20,Abendessen,Freunde,2,0,2,0,2,0,0
Thomas,15.06.2013 22:30,10,Snack,Freunde,1,0,0,0,0,0,3
Thomas,16.06.2013 12:00,25,Mittagessen,Freunde,2,0,0,1,3,1,0
Thomas,16.06.2013 15:15,5,Snack,Freunde,1,0,0,0,3,1,0
Thomas,16.06.2013 20:15,20,Abendessen,Daheim,2,0,0,1,3,1,0
Thomas,17.06.2013 11:30,30,Mittagessen,Mensa,2,0,2,2,0,0,1
Thomas,17.06.2013 15:15,5,Snack,Daheim,1,0,0,0,0,3,0
Thomas,17.06.2013 21:30,20,Abendessen,Daheim,2,0,0,1,2,0,1
Thomas,18.06.2013 01:00,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,19.06.2013 12:30,30,Mittagessen,Restaurant,2,0,0,2,2,0,0
Thomas,19.06.2013 20:45,15,Abendessen,Daheim,2,0,0,1,3,0,1
Thomas,20.06.2013 14:00,20,Mittagessen,Daheim,2,0,0,0,3,1,0
Thomas,20.06.2013 19:30,20,Abendessen,Daheim,2,0,0,0,3,1,0
Thomas,21.06.2013 12:15,5,Snack,Daheim,1,0,0,0,3,0,0
Thomas,21.06.2013 16:30,15,Snack,Daheim,2,0,0,0,0,3,0
Thomas,21.06.2013 23:15,15,Abenbrot,Daheim,1,0,0,0,2,0,2
Thomas,22.06.2013 18:15,25,Abendessen,Daheim,2,0,1,1,3,0,1
Thomas,23.06.2013 11:00,5,Frühstück,Daheim,1,0,0,0,3,0,0
Thomas,23.06.2013 15:45,20,Mittagessen,Daheim,2,0,1,1,3,0,1
Thomas,24.06.2013 13:15,20,Mittagessen,Mensa,2,0,2,1,2,0,0
Thomas,24.06.2013 16:45,10,Snack,Restaurant,1,0,0,0,0,0,3
Thomas,24.06.2013 19:00,20,Abendessen,Restaurant,2,0,0,2,2,0,0
Thomas,25.06.2013 12:00,20,Mittagessen,Daheim,2,0,0,1,3,0,1
Thomas,25.06.2013 16:30,10,Snack,Restaurant,1,0,0,0,0,0,3
Thomas,25.06.2013 19:45,20,Abendessen,Restaurant,2,0,0,2,2,0,0
Thomas,25.06.2013 22:00,5,Snack,Daheim,1,0,0,0,0,0,3
Thomas,26.06.2013 12:00,35,Mittagessen,Restaurant,2,0,0,1,3,0,1
Thomas,26.06.2013 18:30,15,Abendessen,Daheim,2,0,0,1,3,0,1
Thomas,26.06.2013 22:30,10,Snack,Daheim,1,0,0,0,0,0,0
Thomas,27.06.2013 12:15,20,Frühstück,Daheim,2,0,0,0,3,0,0
Thomas,27.06.2013 19:30,30,Abendessen,Daheim,2,0,0,1,2,0,2
Thomas,27.06.2013 23:45,20,Snack,Daheim,2,0,0,0,0,3,0
Thomas,28.06.2013 12:00,20,Frühstück,Daheim,2,0,0,0,3,0,0
Thomas,28.06.2013 19:00,25,Abenbrot,Daheim,2,0,0,1,2,0,1
Thomas,28.06.2013 22:30,5,Snack,Daheim,1,0,0,0,0,0,0
Thomas,29.06.2013 12:00,20,Mittagessen,Freunde,2,0,0,3,0,0,1
Thomas,29.06.2013 15:00,10,Snack,Freunde,2,0,0,0,2,2,1
Thomas,29.06.2013 18:45,20,Abendessen,Freunde,2,0,0,3,0,0,1
Thomas,29.06.2013 23:30,10,Snack,Daheim,1,0,0,0,0,0,0
Thomas,30.06.2013 13:45,15,Mittagessen,Daheim,2,0,0,3,0,0,1
Thomas,30.06.2013 15:45,5,Snack,Daheim,1,0,0,0,3,0,0
Huong,01.06.2013 10:00,20,Frühstück,Daheim,2,1,0,1,2,2,0,
