Nutzer,Zeit,Dauer,Art,Rahmen,Gesamtmenge,Fleisch,Fleischersatz,Gemüse,Teigwaren,Obst,
Martin,06.05.13 09:30,30,Frühstück,Daheim,2,0,0,1,1,1,
Martin,06.05.13 12:45,25,Mittagessen,Arbeit,3,2,0,1,3,0,
Martin,06.05.13 12:45,10,Snack,Imbiss,2,0,0,0,2,1,
Martin,06.05.13 12:45,30,Abendessen,Daheim,3,0,3,1,2,3,
Martin,07.05.13 08:15,45,Frühstück,Daheim,2,0,0,2,1,0,
Martin,07.05.13 12:30,30,Mittagessen,Arbeit,1,0,2,1,3,2,
Martin,07.05.13 16:30,5,Snack,Imbiss,2,0,0,0,3,1,
Martin,07.05.13 20:00,30,Abendessen,Daheim,3,0,3,2,2,2,
Martin,08.05.13 09:00,40,Frühstück,Daheim,2,0,0,0,1,3,
Martin,08.05.13 12:30,45,Mittagessen,Arbeit,3,2,0,1,3,0,
Martin,08.05.13 15:30,20,Snack,Imbiss,2,0,1,0,2,1,
Martin,08.05.13 21:00,30,Abendessen,Daheim,3,3,0,2,2,3,
Tom,06.05.13 10:30,30,Frühstück,Daheim,2,0,0,1,1,1,
Tom,06.05.13 14:45,25,Mittagessen,Arbeit,3,2,0,1,3,3,
Tom,06.05.13 16:45,10,Snack,Imbiss,2,0,0,0,2,1,
Tom,06.05.13 20:45,30,Abendessen,Daheim,3,0,3,1,2,0,
Tom,07.05.13 11:15,45,Frühstück,Daheim,2,0,0,2,1,0,
Tom,07.05.13 16:30,10,Snack,Imbiss,2,0,1,0,3,1,
Tom,07.05.13 21:15,30,Abendessen,Daheim,3,0,3,2,2,1,
Tom,08.05.13 10:15,40,Frühstück,Daheim,2,0,0,0,1,3,
Tom,08.05.13 12:45,45,Mittagessen,Arbeit,3,2,0,1,3,0,
Tom,08.05.13 14:30,20,Snack,Imbiss,2,0,1,0,2,1,
Tom,08.05.13 15:45,20,Snack,Imbiss,2,0,1,2,2,1,
Tom,08.05.13 20:00,30,Abendessen,Daheim,3,3,0,2,2,1,
Houng,06.05.13 08:15,30,Frühstück,Daheim,2,0,0,1,3,1,
Houng,06.05.13 12:30,25,Mittagessen,Arbeit,3,2,0,1,3,0,
Houng,06.05.13 14:30,10,Snack,Imbiss,2,0,0,0,2,3,
Houng,06.05.13 18:45,30,Abendessen,Daheim,3,0,3,1,2,0,
Houng,07.05.13 08:15,45,Frühstück,Daheim,2,0,0,3,1,0,
Houng,07.05.13 13:00,30,Mittagessen,Arbeit,1,1,2,1,3,2,
Houng,07.05.13 15:30,5,Snack,Imbiss,2,0,0,0,3,1,
Houng,07.05.13 20:00,30,Abendessen,Daheim,3,0,3,2,2,0,
Houng,08.05.13 08:15,40,Frühstück,Daheim,2,0,1,0,1,3,
Houng,08.05.13 12:30,45,Mittagessen,Arbeit,3,2,0,1,3,0,
Houng,08.05.13 19:00,30,Abendessen,Daheim,3,3,0,2,2,0,
